"id","allLetter","area","firstLetter","onlineTime","peopleNumber","platId","platName","proTime","problemTime","regCapital","status1","status2","type"
"64","lewangdai","山东","lwd","2013-05-08 00:00:00","0","2262","乐网贷","2013-10","2013-10-25 00:00:00","500","0","0","提现困难"
"65","baoxiandai","江苏","bxd","2013-04-01 00:00:00","0","2263","保险贷","2013-10","2013-10-25 00:00:00","1000","0","0","提现困难"
"66","huibaoxindai","江苏","hbxd","2013-07-01 00:00:00","0","2268","汇宝信贷","2013-10","2013-10-25 00:00:00","500","0","0","提现困难"
"67","yingtongtouzi","湖北","yttz","2013-01-21 00:00:00","0","2260","盈通投资","2013-10","2013-10-23 00:00:00","130","0","0","提现困难"
"68","yutaicaifu","湖北","ytcf5","2013-08-23 00:00:00","0","2261","钰泰财富","2013-10","2013-10-23 00:00:00","500","0","0","提现困难"
"69","huaqiangcaifu","安徽","hqcf","2013-09-22 00:00:00","0","2259","华强财富","2013-10","2013-10-21 00:00:00","1000","0","0","提现困难"
"70","lihechuangtou","浙江","lhct8","2013-07-01 00:00:00","0","2258","力合创投","2013-10","2013-10-18 00:00:00","1000","0","0","提现困难"
"71","fuxiangchuangtou","福建","fxct","2013-10-15 00:00:00","0","2251","福翔创投","2013-10","2013-10-17 00:00:00","0","0","0","跑路"
"72","chuanxindai","四川","cxd8","2013-07-01 00:00:00","0","2247","川信贷","2013-10","2013-10-11 00:00:00","500","0","0","提现困难"
"73","yishangdai1","湖北","ysd8","2013-07-19 00:00:00","0","2246","宜商贷","2013-10","2013-10-10 00:00:00","2000","0","0","提现困难"
"74","wanlichuangtou","广东","wlct","2013-07-05 00:00:00","0","2242","万利创投","2013-10","2013-10-08 00:00:00","1000","0","0","提现困难"
"75","dongfangchuangtou","广东","dfct","2013-06-19 00:00:00","0","2243","东方创投","2013-10","2013-10-08 00:00:00","1000","0","0","提现困难"
"76","yinshidai","内蒙古","ysd9","2013-08-19 00:00:00","0","2244","银实贷","2013-10","2013-10-08 00:00:00","500","0","0","提现困难"
