"id","date","toPay10","toReceive10","wdzjPlatId"
"284","2017-02-28","1.10","6.16","3642"
"285","2017-03-31","1.42","6.26","3642"
"286","2017-04-30","1.60","6.19","3642"
"287","2017-05-31","1.42","5.25","3642"
"288","2017-06-30","1.62","3.52","3642"
"289","2016-07-31","8.90","0.54","144"
"290","2016-08-31","7.96","0.60","144"
"291","2016-09-30","6.93","0.53","144"
"292","2016-10-31","5.84","0.51","144"
"293","2016-11-30","5.19","0.53","144"
"294","2016-12-31","3.94","0.50","144"
"295","2017-01-31","3.40","0.47","144"
"296","2017-02-28","3.14","0.44","144"
"297","2017-03-31","3.15","0.47","144"
"298","2017-04-30","2.51","0.49","144"
"299","2017-05-31","2.92","0.46","144"
"300","2017-06-30","2.77","0.41","144"
"301","2016-07-31","13.93","28.68","2001"
"302","2016-08-31","14.23","25.64","2001"
"303","2016-09-30","15.60","30.37","2001"
"304","2016-10-31","12.20","19.74","2001"
"305","2016-11-30","13.03","8.67","2001"
"306","2016-12-31","13.03","8.67","2001"
"307","2017-01-31","13.03","8.67","2001"
"308","2017-02-28","13.03","8.67","2001"
"309","2017-03-31","17.03","11.25","2001"
"310","2017-04-30","18.46","12.30","2001"
"311","2017-05-31","12.01","9.08","2001"
"312","2017-06-30","10.89","8.65","2001"
"313","2016-07-31","1.53","57.09","169"
"314","2016-08-31","1.55","56.39","169"
"315","2016-09-30","1.69","57.41","169"
"316","2016-10-31","1.71","59.67","169"
"317","2016-11-30","1.70","65.41","169"
"318","2016-12-31","1.67","67.41","169"
"319","2017-01-31","1.59","72.56","169"
"320","2017-02-28","1.52","77.70","169"
"321","2017-03-31","1.51","80.83","169"
"322","2017-04-30","1.52","84.62","169"
"323","2017-05-31","1.52","88.56","169"
"324","2017-06-30","1.47","92.23","169"
"325","2016-07-31","7.01","66.56","1493"
"326","2016-08-31","5.12","69.59","1493"
"327","2016-09-30","3.93","91.69","1493"
"328","2016-10-31","3.59","87.34","1493"
"329","2016-11-30","3.42","86.89","1493"
"330","2016-12-31","3.45","80.04","1493"
"331","2017-01-31","3.45","74.95","1493"
"332","2017-02-28","3.47","72.99","1493"
"333","2017-03-31","7.17","67.92","1493"
"334","2017-04-30","7.37","57.99","1493"
"335","2017-05-31","3.49","52.43","1493"
"336","2017-06-30","3.16","38.35","1493"
"337","2016-07-31","24.62","36.56","2339"
"338","2016-08-31","28.04","43.25","2339"
"339","2016-09-30","28.91","38.01","2339"
"340","2016-10-31","26.70","34.79","2339"
"341","2016-11-30","26.15","36.04","2339"
"342","2016-12-31","27.82","36.02","2339"
"343","2017-01-31","27.65","33.88","2339"
"344","2017-02-28","24.58","47.62","2339"
"345","2017-03-31","24.57","31.78","2339"
"346","2017-04-30","98.00","100.00","2339"
"347","2017-05-31","19.47","28.73","2339"
"348","2017-06-30","17.05","11.73","2339"
"349","2016-07-31","8.32","8.61","640"
"350","2016-08-31","9.08","8.23","640"
"351","2016-09-30","9.61","8.54","640"
"352","2016-10-31","9.40","7.55","640"
"353","2016-11-30","8.19","6.32","640"
"354","2016-12-31","5.89","5.07","640"
"355","2017-01-31","3.81","3.48","640"
"356","2017-02-28","2.84","2.80","640"
"357","2017-03-31","1.98","2.14","640"
"358","2017-04-30","1.63","1.95","640"
"359","2017-05-31","1.31","1.89","640"
"360","2017-06-30","1.18","1.70","640"
"361","2016-07-31","3.67","1.20","512"
"362","2016-08-31","2.91","1.00","512"
"363","2016-09-30","2.98","0.85","512"
"364","2016-10-31","3.32","0.66","512"
"365","2016-11-30","3.15","0.59","512"
"366","2016-12-31","2.66","1.69","512"
"367","2017-01-31","3.12","2.99","512"
"368","2017-02-28","2.68","3.16","512"
"369","2017-03-31","2.31","2.67","512"
"370","2017-04-30","2.65","2.40","512"
"371","2017-05-31","2.49","2.51","512"
"372","2017-06-30","2.49","2.34","512"
"373","2016-07-31","1.22","0.15","57"
"374","2016-08-31","1.13","0.10","57"
"375","2016-09-30","1.08","0.08","57"
"376","2016-10-31","1.07","0.07","57"
"377","2016-11-30","1.05","0.05","57"
"378","2016-12-31","1.47","0.05","57"
"379","2017-01-31","0.95","0.05","57"
"380","2017-02-28","0.90","0.05","57"
"381","2017-03-31","1.30","0.04","57"
"382","2017-04-30","4.99","0.04","57"
"383","2017-05-31","7.67","0.04","57"
"384","2017-06-30","8.70","0.03","57"
"385","2016-07-31","2.32","11.48","211"
"386","2016-08-31","2.15","10.91","211"
"387","2016-09-30","2.21","10.17","211"
"388","2016-10-31","2.27","9.84","211"
"389","2016-11-30","2.19","9.66","211"
"390","2016-12-31","2.29","9.14","211"
"391","2017-01-31","2.35","8.07","211"
"392","2017-02-28","2.04","6.00","211"
