"id","actualCapital","aliasName","association","associationDetail","autoBid","autoBidCode","bankCapital","bankFunds","bidSecurity","bindingFlag","businessType","companyName","credit","creditLevel","delayScore","delayScoreDetail","displayFlg","drawScore","drawScoreDetail","equityVoList","experienceScore","experienceScoreDetail","fundCapital","gjlhhFlag","gjlhhTime","gruarantee","inspection","juridicalPerson","locationArea","locationAreaName","locationCity","locationCityName","manageExpense","manageExpenseDetail","newTrustCreditor","newTrustCreditorCode","officeAddress","onlineDate","payment","paymode","platBackground","platBackgroundDetail","platBackgroundDetailExpand","platBackgroundExpand","platEarnings","platEarningsCode","platName","platStatus","platUrl","problem","problemTime","recordId","recordLicId","registeredCapital","riskCapital","riskFunds","riskReserve","riskcontrol","securityModel","securityModelCode","securityModelOther","serviceScore","serviceScoreDetail","startInvestmentAmout","term","termCodes","termWeight","transferExpense","transferExpenseDetail","trustCapital","trustCreditor","trustCreditorMonth","trustFunds","tzjPj","vipExpense","withTzj","withdrawExpense","platId"
"2284","0.00","金易贷","0","","","","","0","-","0","","青岛金天电子商务有限公司","0","","2.0","两周内","1","2.0","两三天内","","2.0","不满意","","0","","","0","葛敏","37","山东","3702","青岛","","","","0","山东省青岛经济技术开发区保税区天智国际大厦12A","2014-05-02","","","2","民营系","民营系","2","20.0","20.0","金易贷","2","http://www.jinyidai.com.cn/","1","2016-05-01","鲁ICP备14000343号 ","","200.0","","0","0.0","0","","","","2.0","不满意","","","","0.0","","","","","0","0","","","0","","803"
"2285","0.00","进弘创利","0","","","","","0","-","1","","进弘金融信息服务（上海）有限公司","0","","5.0","一天内","1","2.5","两三天内","","5.0","很满意","","0","","","0","梁晓飞","31","上海","3114","嘉定","","","","0","上海市嘉定区银翔路655号B区1066室","2014-09-15","","","2","民营系","民营系","2","15.0","15.0","进弘创利","2","http://www.jhmore.com/","1","2016-05-01","沪ICP备14034476号-1 ","","2000.0","","0","0.0","0","","","","5.0","很满意","","","","0.0","","","","","0","0","","","0","","917"
"2286","5000.00","永利财富","0","","不支持","0","","0","本息保障","1","个人信贷(50%)、车贷(25%)、房贷(25%)","深圳永利财富电子商务有限公司","0","","4.5","三天内","1","3.2","一天内","","4.6","很满意","","0","","","0","李镒安","44","广东","4403","深圳","","","随时","1","深圳市龙华新区人民北路恒江大厦三楼","2014-08-29","","","2","民营系","民营系","2","20.0","20.0","永利财富（粤）","2","http://www.ylwealth.com","1","2016-05-01","粤ICP备14065114号-1 ","","5000.0","","0","0.0","0","小贷公司、非融资性担保公司、平台垫付","1,3,4","","4.7","很满意","","","","0.0","0.2％","","","","0","","","","0","","921"
"2287","0.00","网信贷","0","","","","","0","-","0","","河南网信贷金融服务有限公司","0","","4.0","三天内","1","2.7","两三天内","","3.0","一般","","0","","","0","郝小培","41","河南","4101","郑州","","","","0","河南省郑州市金水区经六路26号索克豫发大厦603B","2014-10-20","","","2","民营系","民营系","2","18.0","18.0","网信贷","2","http://www.wangxindai.cn/","1","2016-05-01","豫ICP备14020367号-1 ","","3001.0","","0","0.0","0","","","","3.3","一般","","","","0.0","","","","","0","0","","","0","","1011"
"2288","5000.00","宜佳财富","0","","支持","1","","0","-","1","车贷(50%)、房贷(50%)","山东天九投资有限公司","0","","3.9","一周内","1","2.8","两三天内","","3.4","一般","","0","","","0","龙长江","37","山东","3701","济南","利息管理费(原则上收取投资人所得收益10％的利息管理费，活动期目前暂不收取)","原则上收取投资人所得收益10％的利息管理费，活动期目前暂不收取","不可转让","5","济南市历下区经十路15138号","2014-12-26","1,2,3","借记卡网付,信用卡网付,线下充值(有奖励)","2","民营系","民营系","2","14.0","14.0","宜佳财富","2","http://www.yiimoney.com","1","2016-05-01","鲁ICP备13028771号","","5000.0","","0","800.0","0","风险准备金(800.0万元)","02","","3.4","一般","","1月标(50%)、天标(30%)","1,2,3","1.2","暂无转让","","易宝支付","","0","1","","180元/年(目前注册成功即可免费成为VIP会员一年)","0","千分五(充值后15天内提现收取千分五费用，达到十五天及以上均提现不收费)","1265"
"2289","0.00","万绿创投","0","","支持","1","","0","本息保障","1","车贷(50%)、房贷(50%)","河源市万绿东江实业投资有限公司 ","0","","4.3","三天内","1","3.0","一天内","","3.7","满意","","0","","","0","王洁","44","广东","4416","河源","","","1个月","2","河源市源城区建设大道广晟凯旋城107栋30-33号一楼万绿创投","2014-11-20","","","2","民营系","民营系","2","18.0","18.0","万绿创投","2","http://www.wanlvct.com/","1","2016-05-01","粤ICP备14070514号 ","","1000.0","","0","0.0","0","平台垫付","4","","3.7","满意","","2月标(70%)、3月标(30%)","3,4","2.3","","","","","0","0","","","0","","1310"
"2290","0.00","麦钱网","0","","支持","1","","0","代偿模式，保本保息","1","个人信贷(30%)、车贷(60%)、房贷(10%)","深圳市前海小麦互联网金融服务有限公司","0","","4.8","三天内","1","4.1","四小时内","","4.8","很满意","","0","","","0","邓泽瑞","44","广东","4403","深圳","投资收益部分的10％(只有在投资回款时扣收收益部分的10％作为居间服务费)","","随时","1","深圳市南山区高新科技园科园路18号北科大厦1307","2015-03-25","1,4","借记卡网付,线下充值(无奖励)","2","民营系","民营系","2","14.0","14.0","麦钱网","2","http://www.maimoney.cn","1","2016-05-01","粤ICP备15011599号","","5000.0","","0","0.0","0","小贷公司、非融资性担保公司、平台垫付","1,3,4","","4.7","很满意","","4-6月标(35%)、6-12月标(35%)","6,2,4,5","5.4","债权转让剩余代收本金的0.2％(只有在转让成功时扣收作为管理服务费)","","","","0","0","","-(暂无VIP业务)","0","每月可享免费提现2次(1、有投资记录的用户每月可享免费提现2次。当月提现超过2次的，按提现金额的千分之3收取费用。2、每月剩余免费提现次数，当月月底归零，不累计至下月3、手续费最低2元，无上限4、单笔提现不设最小限额，最大金额为50万元)","1671"
"2291","0.00","太安全","0","","","","","0","-","1","","泰安市众诚金融信息服务咨询有限公司","0","","","","1","","","","","","","0","","","0","李洪涛","37","山东","3709","泰安","","","","0","","2014-10-20","","","0","","","0","","0.0","太安全","2","http://www.taianquan.com","1","2016-05-01","鲁ICP备15010851号-1 ","","3000.0","","0","0.0","0","","","","","","","","","0.0","","","","","0","","","","0","","2094"
"2292","0.00","借贷云盘","0","","支持","1","","0","风险准备金","1","个人信贷(20%)、车贷(40%)、房贷(40%)","山东善友企业管理咨询有限公司","0","","","","1","","","","","","","0","","","0","武学刚","37","山东","3701","济南","","","随时","1","山东省济南市历城区华龙路1825号嘉恒大厦A座1005室","2015-06-08","","","2","民营系","民营系","2","20.0","20.0","借贷云盘","2","http://www.jiedaiyunpan.com","1","2016-05-01"," 鲁ICP备15012968号","","2000.0","","0","0.0","0","小贷公司、非融资性担保公司、平台垫付","1,3,4","","","","","1月标(30.0%)、3月标(20.0%)","1,2,3,4,5,6","3.24","无费用(转让无费用)","","双乾第三方资金托管","","0","1","","","0","","2341"
"2293","5000.00","致富贷","0","","支持","1","","0","保本保息","1","个人信贷(30%)、车贷(30%)、房贷(30%)","深圳市前海致富贷互联网金融服务有限公司","0","","4.0","三天内","1","3.0","一天内","","5.0","很满意","","0","","","0","朱小军","44","广东","4403","深圳","","","不可转让","5","深圳市福田区金田路现代商务大厦1505室","2015-04-18","","","2","民营系","民营系","2","16.0","16.0","致富贷","2","http://www.zhifu1688.cn/","1","2016-05-01","粤ICP备15027464号-1","","5000.0","","0","0.0","0","小贷公司、融资性担保公司、平台垫付","1,2,4","","5.0","很满意","","3月标(30.0%)、2月标(30.0%)","6,2,3,4","2.7","","","","","0","0","","","0","","2726"
"2294","0.00","惠众e金","0","","支持","1","","0","VIP保本保息","1","个人信贷(20%)、车贷(10%)、房贷(10%)、供应链金融(60%)","上海鉴德金融信息服务有限公司","0","","","","1","","","","","","","0","","","0","赵月明","37","山东","3701","济南","","","","0","山东省济南高新区新泺大街1166号奥盛大厦3号楼11层","2015-11-06","","","0","","","0","8.2","8.2","惠众e金","2","http://www.hzfex.com","1","2016-05-01","沪ICP备15044844","","5001.0","","0","500.0","0","小贷公司、融资性担保公司、风险准备金(500.0万元)","1,2,02","","","","","3月标(40.0%)、1月标(40.0%)","6,2,4,5","3.0","","","","","0","","","","0","","3874"
"2295","0.00","稳信金融","0","","不支持","0","","0","VIP保本保息","1","票据(10%)、消费金融(20%)、车贷(30%)、房贷(10%)、供应链金融(30%)","云南中创融互联网金融服务有限公司","0","","3.3","一周内","1","3.0","一天内","","3.7","满意","","0","","云南融联融资担保有限公司(承保2000万元)","0","李文岳","53","云南","5301","昆明","无","","随时","1","云南省昆明市盘龙区北京路987号俊发中心18楼","2016-01-01","1","借记卡网付","2","民营系","民营系","2","","0.0","稳信金融","2","http://www.wenxinp2p.com.cn","1","2016-05-01","滇ICP备15008626号-1","","5000.0","","0","0.0","0","融资性担保公司","2","","4.0","满意","","2月标(40.0%)、3月标(30.0%)","1,2,3,4","2.0","无","","汇付天下","","0","1","","无","0","2元/笔(普通取现，即T+1到账费用为2元/笔；快速取现，按取现金额的0.5％+2元/笔。)","4214"
"2296","0.00","润顺财富","0","","支持","1","","0","第三方机构变现保证","1","车贷(100%)","安徽润顺汽车服务有限公司","0","","2.0","两周内","1","2.0","两三天内","","2.0","不满意","","0","","","0","高育","34","安徽","3401","合肥","","","不可转让","5","安徽省合肥市蜀山区西湖国际广场B座9楼","2016-04-08","","","2","民营系","民营系","2","12.0","12.0","润顺财富","2","http://www.runshuncaifu.com","1","2016-05-01","皖ICP备15015025号","","1000.0","","0","0.0","0","小贷公司","1","","2.0","不满意","","3月标(50.0%)、1月标(35.0%)","6,2,4","3.2","0(无。)","","","","0","","","","0","","4268"
"2297","0.00","润信新世纪","0","","","","","0","-","0","","深圳市润信互联网金融服务有限公司","0","","","","1","","","","","","","0","","","0","陈嘉楠","44","广东","4403","深圳","","","","0","深圳市宝安区国际西岸商务大厦809","2014-05-13","","","0","","","0","","0.0","润信新世纪","2","http://www.rx3389.com/","1","2016-05-01","粤ICP备14043625号-1 ","","1000.0","","0","0.0","0","","","","","","","","","0.0","","","","","0","","","","0","","4756"
"2298","0.00","聚钱袋","0","","","","","0","-","0","","聚钱袋","0","","","","1","","","","","","","0","","","0","","32","江苏","3205","苏州","","","","0","","2013-05-28","","","2","民营系","民营系","2","","0.0","聚钱袋","3","http://www.juqiandai.com","1","2016-05-01","苏ICP备12070599号-5","","1400.0","","0","0.0","0","","","","","","","","","0.0","","","","","0","","","","0","","344"
